Schilderg.,Schilderung,,
Schimpfbez.,Schimpfbezeichnungen,,
Schimpfw.,Schimpfwort,,
schmackh.,schmackhaft,,
schmerzh.,schmerzhaft,,
Schneiderausdr.,Schneiderausdruck,,
Schnellvorrichtg.,Schnellvorrichtung,,
Schönh.,Schönheit,,
schriftdt.,schriftdeutsch,,
Schriftspr.,Schriftsprache,,
schriftsprl.,schriftsprachlich,,
schwed.,schwedischen,,
Schwerhörigk.,Schwerhörigkeit,,
Segelstellg.,Segelstellung,,
seitl.,seitliche,,
Sept.,September,,
Sg.,Singular,,
Simpl.,Simplex,,
Sing.,Singular,,
sinnbildl.,sinnbildlich,,
sinnl.,sinnlichen,,
sog.,sogenannte,,
Sonderbed.,Sonderbedeutung,,
sonst.,sonstige,,
span.,spanische,,
spez.,speziell,,
spött.,spöttisch,,
Spottausdr.,Spottausdrücke,,
Spottbez.,Spottbezeichnungen,,
sprachl.,sprachliche,,
Sprichw.,Sprichworte,,
St.,Sankt,,
städt.,städtisch,,
Stammvok.,Stammvokals,,
Steigerg.,Steigerung,,
Steigerungsadv.,Steigerungsadverb,,
Stellg.,Stellung,,
STir.,Südtirol,,
Stromrichtg.,Stromrichtung,,
Stundenzählg.,Stundenzählung,,
subst.,substantiell,,
Subst.,Substantiva,,
Syn.,Synonyme,,
syn.,synonyme,,
tägl.,täglich,,
Tätigk.,Tätigkeit,,
Tätowierg.,Tätowierung,,
techn.,technischen,,
Teilbez.,Teilbezeichnungen,,
Torfgewinng.,Torfgewinnung,,
tr.,transitiv,,
trans.,transitive,,
trenng.,trennung,,
,,u.,und
u.a.,und anderes,,
u.ä.,und ähnliches,,
Überführg.,Überführung,,
übertr.,übertragen,,
Übertragg.,Übertragung,,
übl.,üblich,,
Umschreibg.,Umschreibung,,
unbehilfl.,unbehilfliche,,
undeutl.,undeutlich,,
uneig.,uneigentliche,,
unordentl.,unordentlichem,,
Unordng.,Unordnung,,
unpers.,unpersönlichem,,
unreinl.,unreinlicher,,
Unterhaltg.,Unterhaltung,,
Untersch.,Unterschied,,
Unterscheidg.,Unterscheidung,,
unterschiedl.,unterschiedlich,,
unwillkürl.,unwillkürliche,,
unwissentl.,unwissentlich,,
urspr.,ursprünglicher,,
ursprüngl.,ursprüngliche,,
usf.,und so fort,,
usw.,und so weiter,,
,,v.,von
v.d.,von der,,
vä.,verächtlich,,
Vb.,Verb,,
Veranschaulichg.,Veranschaulichung,,
Verbindg.,Verbindung,,
Verbindlichk.,Verbindlichkeit,,
verbr.,verbreitet,,
Verbr.,Verbreitung,,
Verehrg.,Verehrung,,
Vergangenh.,Vergangenheits,,
Vergl.,Vergleiche,,
verkäufl.,verkäufliches,,
verkehrssprl.,verkehrssprachlich,,
Verletzg.,Verletzung,,
Vermehrg.,Vermehrung,,
vermögensrechtl.,vermögensrechtliche,,
vermutl.,vermutlich,,
versch.,verschieden,,
versehentl.,versehentlich,,
Verständigg.,Verständigung,,
Verstärkg.,Verstärkung,,
Versteifg.,Versteifung,,
Verteilg.,Verteilung,,
Vertiefg.,Vertiefung,,
verw.,verwandte,,
Verwandtsch.,Verwandtschaft,,
Verwendg.,Verwendung,,
Verwendgs.,Verwendungs,,
Verwertg.,Verwertung,,
Verwunderg.,Verwunderung,,
vgl.,vergleiche,,
Vgl.,Vergleiche,,
Viehbehexg.,Viehbehexung,,
viell.,vielleicht,,
Vkdl.,Volkskundliches,,
Volksbelustigg.,Volksbelustigung,,
Volksmeing.,Volksmeinung,,
volkst.,volkstümlich,,
volkstüml.,volkstümlich,,
Volkstüml.,Volkstümliche,,
volksübl.,volksüblich,,
Vollvb.,Vollverb,,
Vorbehandlg.,Vorbehandlung,,
Vorbereitg.,Vorbereitung,,
Vorrichtg.,Vorrichtung,,
Vorstellg.,Vorstellung,,
,,w.,wie
Waldschlägerg.,Waldschlägerung,,
Waldwirtsch.,Waldwirtschaft,,
Wasserleitg.,Wasserleitung,,
weibl.,weiblich,,
Weinhandlg.,Weinhandlung,,
weltl.,weltliche,,
Wendg.,Wendungen,,
wirkl.,wirklich,,
wohng.,wohnung,,
womögl.,womöglich,,
Wortbetong.,Wortbetonung,,
,,z.,zum
z.B.,zum Beispiel,,
Zeichng.,Zeichnung,,
Zeitg.,Zeitung,,
zeitw.,zeitwörtliche,,
zeitwörtl.,zeitwörtlich,,
Zielang.,Zielangabe,,
zs.,zusammen,,
Zs.,Zusammen,,
Zshg.,Zusammenhang,,
Zubereitg.,Zubereitung,,
Zugehörigk.,Zugehörigkeit,,
Zukunftsbed.,Zukunftsbedeutung,,
Zündhölzererzeugg.,Zündhölzererzeugung,,
Zusammengehörigk.,Zusammengehörigkeit,,
Zusammenstellg.,Zusammenstellung,,
zw.,zwischen,,
